Kategori,Nama Latihan,Target Otot,Peralatan,Tipe,Deskripsi Singkat,CNS Cluster
Isolasi,Overhead Triceps Extension,Triceps,Dumbbell,Isolasi,Luruskan siku mengangkat dumbbell dari belakang kepala.,C
Isolasi,Skull Crusher,Triceps,Barbell/EZ Bar,Isolasi,Turunkan bar ke dahi sambil berbaring lalu luruskan siku kembali.,C
Isolasi,Cable Kickback,Triceps,Cable Machine,Isolasi,Luruskan siku ke belakang melawan tahanan cable.,C
Isolasi,Leg Curl,Hamstring,Machine,Isolasi,Tekuk lutut melawan beban pada mesin leg curl.,C
Isolasi,Leg Extension,Quadriceps,Machine,Isolasi,Luruskan lutut melawan beban pada mesin leg extension.,C
Isolasi,Calf Raise,Betis (Gastrocnemius),Machine/Dumbbell,Isolasi,Angkat tumit menjinjit melawan beban berdiri.,C
Isolasi,Seated Calf Raise,Betis (Soleus),Machine,Isolasi,Angkat tumit menjinjit melawan beban sambil duduk.,C
Isolasi,Hip Abduction,Glutes Medius,Machine,Isolasi,Buka kaki melawan tahanan pada mesin hip abduction.,C
Isolasi,Hip Adduction,Adductor,Machine,Isolasi,Tutup kaki melawan tahanan pada mesin hip adduction.,C
Isolasi,Cable Chest Fly,Dada,Cable Machine,Isolasi,Satukan kedua tangan di depan dada melawan tahanan cable.,C
Isolasi,Pec Deck Machine,Dada,Machine,Isolasi,Satukan kedua lengan di depan dada menggunakan mesin pec deck.,C
Isolasi,Shrug,Trapezius,Barbell/Dumbbell,Isolasi,Angkat bahu lurus ke atas sambil memegang beban.,C
Core,Plank,"Core, Abdominal",Bodyweight,Isolasi,Tahan posisi tubuh lurus bertumpu pada lengan dan kaki.,C
Core,Hanging Leg Raise,"Core, Abdominal Bawah",Pull Up Bar,Isolasi,Angkat kaki lurus ke atas sambil bergantung di bar.,C
Core,Cable Crunch,"Core, Abdominal",Cable Machine,Isolasi,Tekuk badan ke bawah melawan tahanan cable sambil berlutut.,C
Core,Russian Twist,"Core, Oblique",Bodyweight/Plate,Isolasi,Putar badan ke kanan dan kiri sambil duduk setengah rebah.,C
Core,Ab Wheel Rollout,"Core, Abdominal",Ab Wheel,Compound,Dorong roda ke depan menjaga punggung tetap lurus.,B
